estimator,workload,rate,seed,cond,residency,coloc_seconds,n_requests,slo_pass,attainment,qwen7b_tpot_p50,qwen7b_tpot_p95,qwen7b_tpot_p99,qwen7b_itl_p99,llama8b_tpot_p50,llama8b_tpot_p95,llama8b_itl_p99,agg_tpot_p50,ttft_p95,ttft_p99
OLD,steady,4,2,steady_r4_s2,LARGE_COLOCATED,60.2,223,103,0.4619,0.038269080221652985,0.04795720034411975,0.051273322353760364,0.17078089714050293,0.0448051761629652,0.05762193993880198,0.17416715621948242,0.033875102088564917,8.383023238182075,13.921452007293704
OLD,steady,4,2,steady_r4_s2,LARGE_SEPARATED,60.2,1346,1000,0.7429,0.032684504985809326,0.04516355251518503,0.05971433053414032,0.12809076547622758,0.022999326698482037,0.0353962779045105,0.10846890926361083,0.029064614941754677,0.23362451791763306,4.748286569118456
OLD,steady,6,1,steady_r6_s1,LARGE_COLOCATED,272.3,1634,720,0.4406,0.04384872762406348,0.06201088920235634,0.06890949562191963,0.23014466762542268,0.04102517571300268,0.055663412770414665,0.1786341190338135,0.03723793677851647,1.3139078259468018,10.188169550895699
OLD,steady,6,1,steady_r6_s1,LARGE_SEPARATED,272.3,950,515,0.5421,0.03682924641503228,0.06238992794834334,0.09478802323341372,0.21065664291381836,0.02692585562666257,0.047597811526401905,0.11990689992904664,0.03266964976986249,2.732815599441528,8.595746750831603
OLD,steady,6,2,steady_r6_s2,LARGE_COLOCATED,31.6,185,58,0.3135,0.04936955956851735,0.05695503056049347,0.07615651190280912,0.25775146484375,0.05682404339313507,0.06879916042089462,0.2672677803039551,0.04109524190425873,12.66653580665591,24.453189926147456
OLD,steady,6,2,steady_r6_s2,LARGE_SEPARATED,31.6,2337,1654,0.7077,0.03355489671230316,0.05085248571599841,0.06266698956489564,0.16731572151184082,0.028903916478157043,0.03876707860786555,0.14259934425354004,0.030510482178431123,0.2790818691253657,6.120405750274631
OLD,steady,8,1,steady_r8_s1,LARGE_COLOCATED,159.6,1258,477,0.3792,0.046973554382012006,0.08857782185077667,0.15705896675586725,0.3061341309547424,0.04858157684063089,0.06739647782274655,0.22445324420928955,0.03800195250489296,10.45576795339585,27.79702070236206
OLD,steady,8,1,steady_r8_s1,LARGE_SEPARATED,159.6,2115,964,0.4558,0.020925058983266354,0.06782075772061943,0.1817077899277221,0.18554399490356446,0.04941219070334305,0.06102251418690499,0.22541468620300292,0.03634655475616455,0.604760193824768,11.943869423866282
OLD,steady,8,2,steady_r8_s2,LARGE_COLOCATED,61.6,507,166,0.3274,0.049169108271598816,0.07582782655954359,0.13423109263181668,0.3545959734916687,0.06929499047926102,0.10929010311762492,0.4414806365966797,0.04445391955475012,8.211439299583434,19.643802690505982
OLD,steady,8,2,steady_r8_s2,LARGE_SEPARATED,61.6,2811,1833,0.6521,0.03420393541455269,0.05610658309145415,0.09689486531274721,0.1882827758789062,0.034434367175125956,0.04811055560906729,0.18588343620300293,0.03233537326256434,0.3379024267196655,8.387217736244246
OLD,steady,10,1,steady_r10_s1,LARGE_COLOCATED,114.5,1151,429,0.3727,0.05808920796229461,0.1998038403689862,0.36670808359980583,0.4584273624420166,0.048752816141201416,0.09222303330898285,0.26881474018096924,0.04087815061211586,18.813689708709717,29.590308666229248
OLD,steady,10,1,steady_r10_s1,LARGE_SEPARATED,114.5,2987,1407,0.471,0.041586145758628845,0.07704592400238293,0.15792041242122487,0.30805641174316406,0.03318967475547447,0.05752217024564743,0.17509651660919323,0.03481543995440006,3.1629635810852004,18.12401339530941
OLD,steady,10,2,steady_r10_s2,LARGE_SEPARATED,0,4181,2010,0.4807,0.0364850813008291,0.05692184434699727,0.07154957403739294,0.20106100559234621,0.03916760602751012,0.051806975318037934,0.22540044784545898,0.034582221809821796,0.2504606246948242,2.083218526840208
NEW,steady,8,1,steady_r8_s1,LARGE_COLOCATED,326.2,2406,980,0.4073,0.06406601953009763,0.467204997241497,0.7813034463354526,0.37502145767211914,0.05913441080442616,0.1127235217870538,0.4382446813583374,0.03872960919364431,156.80868870019913,174.63617950677866
NEW,steady,8,1,steady_r8_s1,LARGE_SEPARATED,326.2,967,534,0.5522,0.032884584030225164,0.1042854647551266,0.22681816464872392,0.2761923146247864,0.038307534323798284,0.05517688877880573,0.1788293075561523,0.033057303655715214,5.766404318809511,15.330180387496958
NEW,steady,8,2,steady_r8_s2,LARGE_SEPARATED,0,3320,2371,0.7142,0.03345252573490143,0.05177130525810873,0.06604066938161851,0.17583893299102782,0.034127473574260186,0.04737607104813352,0.1732921886444068,0.031865844813485936,0.2520785450935365,4.264607727527598
NEW,steady,10,1,steady_r10_s1,LARGE_COLOCATED,218.8,2051,749,0.3652,0.05416127532924438,0.13762574542507675,0.28582456842065,0.4309530258178711,0.045691396288303515,0.07392950241440621,0.2338886332511902,0.04270757001543802,13.741337060928345,28.07441759109497
NEW,steady,10,1,steady_r10_s1,LARGE_SEPARATED,218.8,2087,906,0.4341,0.0445544458925724,0.10626771421659555,0.326312276124954,0.40824148178100583,0.035678281944347634,0.06056742392302976,0.21782803535461426,0.03573448956012726,6.781324648857151,36.80148940563197
NEW,steady,10,2,steady_r10_s2,LARGE_SEPARATED,0,4179,2282,0.5461,0.03489579322437445,0.05664556182956672,0.0713432063907385,0.19832083702087402,0.03931154093394677,0.0505531821639166,0.2258244013786316,0.03350089676678181,0.2559186458587646,0.6833431529999033
