workload,rate,seed,cond,cycle,timestamp,current_peak_kvpr,best_peak_kvpr,delta_r,residency_colocated
steady,10,3,steady_r10_s3,44,1787647495.4080856,0.0949902556134455,0.09468365720142652,0.00030659841201897964,False
steady,10,3,steady_r10_s3,45,1787647500.446166,0.09162387299923341,0.09162387299923341,0.0,False
steady,10,3,steady_r10_s3,46,1787647505.4893935,0.09002654814821925,0.09002654814821925,0.0,False
steady,10,3,steady_r10_s3,47,1787647510.8342903,0.09341519978842865,0.09341519978842865,0.0,False
steady,10,3,steady_r10_s3,48,1787647515.8784738,0.09634352986416399,0.096343529864164,0.0,False
steady,10,3,steady_r10_s3,49,1787647520.9247017,0.09684155076713095,0.09684155076713095,0.0,False
steady,10,3,steady_r10_s3,50,1787647526.0079806,0.09842544318124485,0.09842544318124485,0.0,False
steady,10,3,steady_r10_s3,51,1787647531.0834973,0.10297172573905541,0.10101925347100242,0.0019524722680529932,False
steady,10,3,steady_r10_s3,52,1787647536.150197,0.10765082432178508,0.10765082432178508,0.0,False
steady,10,3,steady_r10_s3,53,1787647541.203319,0.11240327117271805,0.10429619900030995,0.008107072172408095,False
steady,10,3,steady_r10_s3,54,1787647546.9670324,0.10668330447342586,0.10668330447342586,0.0,False
steady,10,3,steady_r10_s3,55,1787647552.0176575,0.1047987600712158,0.1047987600712158,0.0,False
steady,10,3,steady_r10_s3,56,1787647557.0699894,0.10093207592246098,0.10093207592246098,0.0,False
steady,10,3,steady_r10_s3,57,1787647562.1226873,0.10163169174207728,0.10163169174207728,0.0,False
steady,10,3,steady_r10_s3,58,1787647567.1753073,0.10193789882033075,0.10193789882033075,0.0,False
steady,10,3,steady_r10_s3,59,1787647572.2302864,0.09817360096347164,0.09817360096347164,0.0,False
steady,10,3,steady_r10_s3,60,1787647577.284959,0.09842293229251531,0.09842293229251531,0.0,False
steady,10,3,steady_r10_s3,61,1787647582.3924744,0.10182679862882944,0.10182679862882944,0.0,False
steady,10,3,steady_r10_s3,62,1787647587.4552765,0.10168865490199706,0.10168865490199706,0.0,False
steady,10,3,steady_r10_s3,63,1787647592.783763,0.10069381763614305,0.10069381763614305,0.0,False
steady,10,3,steady_r10_s3,64,1787647597.8398561,0.10084281825198864,0.10084281825198864,0.0,False
steady,10,3,steady_r10_s3,65,1787647602.8988895,0.09984050714867679,0.09984050714867679,0.0,False
steady,10,3,steady_r10_s3,66,1787647607.960561,0.09738971846900676,0.09738971846900676,0.0,False
steady,10,3,steady_r10_s3,67,1787647613.0158687,0.09883704026930656,0.09883704026930656,0.0,False
steady,10,3,steady_r10_s3,68,1787647618.0728674,0.0977533745063153,0.0977533745063153,0.0,False
steady,10,3,steady_r10_s3,69,1787647623.1344845,0.09747253639665909,0.09747253639665909,0.0,False
steady,10,3,steady_r10_s3,70,1787647628.205585,0.0990107623641493,0.0990107623641493,0.0,False
steady,10,3,steady_r10_s3,71,1787647633.2699187,0.09704960235940731,0.09704960235940731,0.0,False
steady,10,3,steady_r10_s3,72,1787647638.336828,0.09899011906822232,0.09899011906822232,0.0,False
steady,10,3,steady_r10_s3,73,1787647643.400786,0.09765030730461427,0.09765030730461427,0.0,False
steady,10,3,steady_r10_s3,74,1787647648.4632025,0.09683155691296294,0.09683155691296294,0.0,False
steady,10,3,steady_r10_s3,75,1787647653.7988665,0.09646467112882132,0.09646467112882132,0.0,False
