arm,cond,cycle,timestamp,model,gpu,weighted_token_rate,token_rate,input_rate,decode_token_tput,cell_size,tpot_slo_s,kvpr0,kvpr1,decision,moved_model,resid
cooldown30,steady8s2,8,1787609099.243375,model_6,0,1.0916475783224775,713.9107885234032,726.7666666666667,-12.855878143263453,57344,0.03492606058716774,0.1370868247845785,0.029331040333491046,MIGRATE,model_6,4.412372193370554e-16
cooldown30,steady8s2,9,1787609105.4113595,model_3,1,2.313116247006638,688.2075879479911,542.4,145.80758794799112,114688,0.03177899122238159,0.09013199074526426,0.06911870252293546,,,1.689272111954189e-16
cooldown30,steady8s2,9,1787609105.4113595,model_4,0,0.40980633146641465,444.0363657857363,200.26666666666668,243.7696991190696,36864,0.0371999591588974,0.09013199074526426,0.06911870252293546,,,1.689272111954189e-16
cooldown30,steady8s2,9,1787609105.4113595,model_5,0,4.847951808355474,1522.8727742987833,942.5333333333333,580.33944096545,131072,0.0383455865085125,0.09013199074526426,0.06911870252293546,,,1.689272111954189e-16
cooldown30,steady8s2,9,1787609105.4113595,model_6,1,1.762592244926847,1152.6921731962505,778.0666666666667,374.62550652958373,57344,0.03492606058716774,0.09013199074526426,0.06911870252293546,,,1.689272111954189e-16
cooldown30,steady8s2,10,1787609110.4180927,model_3,1,2.507177290497226,745.9454049851408,489.23333333333335,256.7120716518075,114688,0.03177899122238159,0.08138763423397366,0.07953208063148492,,,3.7415378833393127e-16
cooldown30,steady8s2,10,1787609110.4180927,model_4,0,0.34511220855312796,373.9385146292668,212.03333333333333,161.9051812959335,36864,0.0371999591588974,0.08138763423397366,0.07953208063148492,,,3.7415378833393127e-16
cooldown30,steady8s2,10,1787609110.4180927,model_5,0,4.402552775169708,1382.9608923018184,930.4666666666667,452.4942256351517,131072,0.0383455865085125,0.08138763423397366,0.07953208063148492,,,3.7415378833393127e-16
cooldown30,steady8s2,10,1787609110.4180927,model_6,1,2.1825747531456683,1427.3504507965004,711.2,716.1504507965003,57344,0.03492606058716774,0.08138763423397366,0.07953208063148492,,,3.7415378833393127e-16
cooldown30,steady8s2,11,1787609115.4290733,model_3,1,3.1043687806008293,923.6242032206919,502.1,421.5242032206919,114688,0.03177899122238159,0.0803054137534503,0.08712704072774621,,,3.4575598928401925e-16
cooldown30,steady8s2,11,1787609115.4290733,model_4,0,0.46486309513411084,503.6918746780667,262.96666666666664,240.72520801140007,36864,0.0371999591588974,0.0803054137534503,0.08712704072774621,,,3.4575598928401925e-16
cooldown30,steady8s2,11,1787609115.4290733,model_5,0,4.219671655987571,1325.512986805777,931.9666666666667,393.5463201391103,131072,0.0383455865085125,0.0803054137534503,0.08712704072774621,,,3.4575598928401925e-16
cooldown30,steady8s2,11,1787609115.4290733,model_6,1,2.033233732312035,1329.6850796095234,786.9,542.7850796095235,57344,0.03492606058716774,0.0803054137534503,0.08712704072774621,,,3.4575598928401925e-16
cooldown30,steady8s2,12,1787609120.4412973,model_3,1,2.4034265031501434,715.0770561936606,353.53333333333336,361.54372286032725,114688,0.03177899122238159,0.0718563097961745,0.07387932312003018,,,4.0775544344481844e-16
cooldown30,steady8s2,12,1787609120.4412973,model_4,0,0.586913755014264,635.9371019809437,324.26666666666665,311.67043531427703,36864,0.0371999591588974,0.0718563097961745,0.07387932312003018,,,4.0775544344481844e-16
cooldown30,steady8s2,12,1787609120.4412973,model_5,0,3.6047510978809405,1132.3498091761583,807.7,324.6498091761582,131072,0.0383455865085125,0.0718563097961745,0.07387932312003018,,,4.0775544344481844e-16
cooldown30,steady8s2,12,1787609120.4412973,model_6,1,1.9530005365311682,1277.2145339837166,883.6333333333333,393.58120065038327,57344,0.03492606058716774,0.0718563097961745,0.07387932312003018,,,4.0775544344481844e-16
cooldown30,steady8s2,13,1787609125.454968,model_3,1,2.363505290220643,703.1995374162436,476.46666666666664,226.732870749577,114688,0.03177899122238159,0.06638342808983372,0.07062238383206403,,,3.1992012863633003e-16
cooldown30,steady8s2,13,1787609125.454968,model_4,0,0.5655587914330227,612.7984150158833,412.03333333333336,200.76508168254992,36864,0.0371999591588974,0.06638342808983372,0.07062238383206403,,,3.1992012863633003e-16
cooldown30,steady8s2,13,1787609125.454968,model_5,0,3.3068510655182752,1038.7713524006729,794.6333333333333,244.13801906733954,131072,0.0383455865085125,0.06638342808983372,0.07062238383206403,,,3.1992012863633003e-16
cooldown30,steady8s2,13,1787609125.454968,model_6,1,1.8008704720329614,1177.725196526543,757.1666666666666,420.55852985987633,57344,0.03492606058716774,0.06638342808983372,0.07062238383206403,,,3.1992012863633003e-16
cooldown30,steady8s2,14,1787609130.4654405,model_3,1,2.8044347474040308,834.3866312668389,593.4,240.9866312668389,114688,0.03177899122238159,0.07852472631671902,0.07731327173110661,,,2.9084620635310045e-16
cooldown30,steady8s2,14,1787609130.4654405,model_4,0,0.5378508242407305,582.7760749233069,431.93333333333334,150.8427415899735,36864,0.0371999591588974,0.07852472631671902,0.07731327173110661,,,2.9084620635310045e-16
cooldown30,steady8s2,14,1787609130.4654405,model_5,0,4.042809333769909,1269.9557482127016,729.2666666666667,540.6890815460349,131072,0.0383455865085125,0.07852472631671902,0.07731327173110661,,,2.9084620635310045e-16
cooldown30,steady8s2,14,1787609130.4654405,model_6,1,1.7544812425058134,1147.3877762011932,849.7,297.6877762011932,57344,0.03492606058716774,0.07852472631671902,0.07731327173110661,,,2.9084620635310045e-16
cooldown30,steady8s2,15,1787609135.4801707,model_3,1,3.0106094135739356,895.728541723951,710.9333333333333,184.79520839061774,114688,0.03177899122238159,0.07346545482450301,0.078332364903274,,,1.9228767188000369e-16
cooldown30,steady8s2,15,1787609135.4801707,model_4,0,0.5855722057212254,634.4834966389478,438.3,196.18349663894782,36864,0.0371999591588974,0.07346545482450301,0.078332364903274,,,1.9228767188000369e-16
