arm,cond,cycle,timestamp,rate_window_s,current_shape,plan_shape,plan_id,plan_changed,convergence_gap,cooldown_active,decision,reason,kvpr0,kvpr1,peak_kvpr
cooldown30,steady8s2,17,1787609145.5098126,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,False,,line-8 placement unchanged or every candidate blocked,0.06596992247824937,0.07819159130320161,0.07819159130320161
cooldown30,steady8s2,18,1787609150.547129,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,False,,line-8 placement unchanged or every candidate blocked,0.06502523733458533,0.09587993372667894,0.09587993372667894
cooldown30,steady8s2,19,1787609155.5686622,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,False,,line-8 placement unchanged or every candidate blocked,0.0709192912344617,0.10510031894823724,0.10510031894823724
cooldown30,steady8s2,20,1787609160.5875869,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,False,,line-8 placement unchanged or every candidate blocked,0.07023940390870168,0.09370125493640605,0.09370125493640605
cooldown30,steady8s2,21,1787609165.640114,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,False,,line-8 placement unchanged or every candidate blocked,0.07354131178800707,0.095695144621279,0.095695144621279
cooldown30,steady8s2,22,1787609170.6590486,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,False,,line-8 placement unchanged or every candidate blocked,0.07134926550429539,0.09009150991150675,0.09009150991150675
cooldown30,steady8s2,23,1787609175.6788666,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,0,False,,line-8 placement unchanged or every candidate blocked,0.06594520008499453,0.08182379267802395,0.08182379267802395
cooldown30,steady8s2,24,1787609180.712751,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,2,False,MIGRATE,literal line-8 absolute delta exceeds tau,0.06924683359974577,0.10534465491683834,0.10534465491683834
cooldown30,steady8s2,25,1787609185.7411108,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,1,True,,migration cooldown active,0.09354910065374143,0.12196252115734424,0.12196252115734424
cooldown30,steady8s2,26,1787609190.7598977,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,1,True,,migration cooldown active,0.0928156535647765,0.12392167953958169,0.12392167953958169
cooldown30,steady8s2,27,1787609195.807356,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,1,True,,migration cooldown active,0.08188317409188563,0.11995063342156362,0.11995063342156362
cooldown30,steady8s2,28,1787609200.8409185,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,1,True,,migration cooldown active,0.06838558020357312,0.11100311869003403,0.11100311869003403
