arm,cond,cycle,timestamp,current_shape,current_colocated,plan_colocated,plan_changed,migration_decision,migration_reason,candidate,cand_from,cand_to,cooldown_active,blocked,misplaced,kvpr0,kvpr1,peak_kvpr,alg1_order,rates,solve_resid,current,plan
NEW,steady8s1,32,1787638268.2862167,2+2,True,True,,,migration cooldown active,,,,True,[],[],0.08723178452317422,0.06615394658869736,0.08723178452317422,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 3.6596609979045267, ""model_4"": 0.80004529204758, ""model_5"": 2.3727220615498155, ""model_6"": 1.9789854390183799}",1.9915625872072032e-16,"{""model_6"": 0, ""model_5"": 0, ""model_3"": 1, ""model_4"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
NEW,steady8s1,33,1787638273.3266017,2+2,True,True,,,migration cooldown active,,,,True,[],[],0.09558448364277049,0.06308262672340245,0.09558448364277049,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 3.393575130155461, ""model_4"": 0.8590810104401627, ""model_5"": 2.6527584443955203, ""model_6"": 2.115637807955346}",1.862635512437215e-16,"{""model_6"": 0, ""model_5"": 0, ""model_3"": 1, ""model_4"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
NEW,steady8s1,34,1787638278.3582752,2+2,True,False,,,migration cooldown active,,,,True,[],"[""model_6"", ""model_4""]",0.09980214437953339,0.05591549525561906,0.09980214437953339,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 2.808857748809555, ""model_4"": 0.9606329430712073, ""model_5"": 2.764179100486099, ""model_6"": 2.2146217175955623}",1.3720114124190165e-07,"{""model_6"": 0, ""model_5"": 0, ""model_3"": 1, ""model_4"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 1, ""model_4"": 0}"
NEW,steady8s1,35,1787638283.3895826,2+2,True,True,,,migration cooldown active,,,,True,[],[],0.09629193020764233,0.057719452845107835,0.09629193020764233,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 3.006826323641871, ""model_4"": 0.8842764779240327, ""model_5"": 2.537942466282958, ""model_6"": 2.265745973880324}",1.8489509275292116e-16,"{""model_6"": 0, ""model_5"": 0, ""model_3"": 1, ""model_4"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
NEW,steady8s1,36,1787638288.4378104,2+2,True,True,,,migration cooldown active,,,,True,[],[],0.09625304850976671,0.054980277726685185,0.09625304850976671,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 2.842133176024554, ""model_4"": 0.8643107029095601, ""model_5"": 2.401797457116214, ""model_6"": 2.399951302720626}",3.699395633228862e-16,"{""model_6"": 0, ""model_5"": 0, ""model_3"": 1, ""model_4"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
NEW,steady8s1,37,1787638293.4703722,2+2,True,False,,MIGRATE,literal line-8 absolute delta exceeds tau,model_5,0,1,False,[],"[""model_5"", ""model_4""]",0.09548540508443203,0.05367016276042407,0.09548540508443203,"[""model_3"", ""model_6"", ""model_5"", ""model_4""]","{""model_3"": 2.84773441518717, ""model_4"": 0.7703892915292352, ""model_5"": 2.18755657154317, ""model_6"": 2.575896408054242}",1.1291890412044966e-07,"{""model_6"": 0, ""model_5"": 0, ""model_3"": 1, ""model_4"": 1}","{""model_3"": 1, ""model_6"": 0, ""model_5"": 1, ""model_4"": 0}"
NEW,steady8s1,38,1787638298.499838,1+3,False,False,,,migration cooldown active,,,,True,[],"[""model_4""]",0.04244560476978064,0.100184558915949,0.100184558915949,"[""model_3"", ""model_6"", ""model_5"", ""model_4""]","{""model_3"": 2.774687410809843, ""model_4"": 0.7205533607095522, ""model_5"": 1.7478163694041489, ""model_6"": 2.7575549833148694}",1.6940086591230175e-16,"{""model_6"": 0, ""model_3"": 1, ""model_4"": 1, ""model_5"": 1}","{""model_3"": 1, ""model_6"": 0, ""model_5"": 1, ""model_4"": 0}"
NEW,steady8s1,39,1787638303.547885,1+3,False,False,,,migration cooldown active,,,,True,[],"[""model_4""]",0.04345533644458716,0.10215059168292236,0.10215059168292236,"[""model_3"", ""model_6"", ""model_5"", ""model_4""]","{""model_3"": 3.0706869319016468, ""model_4"": 0.63706031856041, ""model_5"": 1.6382002185690088, ""model_6"": 2.8231540159302786}",3.322810128028081e-16,"{""model_6"": 0, ""model_3"": 1, ""model_4"": 1, ""model_5"": 1}","{""model_3"": 1, ""model_6"": 0, ""model_5"": 1, ""model_4"": 0}"
NEW,steady8s1,40,1787638308.5829096,1+3,False,True,,,migration cooldown active,,,,True,"[{""model"": ""model_5"", ""reason"": ""target memory infeasible"", ""need_gib"": 21.538958125, ""weights_gib"": 15.080078125, ""reserve_gib"": 6.45888, ""free_gib"": 21.3203125}]","[""model_5""]",0.044863625765704254,0.10394241160900619,0.10394241160900619,"[""model_3"", ""model_6"", ""model_5"", ""model_4""]","{""model_3"": 3.3396857396765967, ""model_4"": 1.0500174026844753, ""model_5"": 1.0500174026844757, ""model_6"": 2.9146460621965242}",1.6327647943405302e-16,"{""model_6"": 0, ""model_3"": 1, ""model_4"": 1, ""model_5"": 1}","{""model_3"": 1, ""model_6"": 0, ""model_5"": 0, ""model_4"": 1}"
NEW,steady8s1,41,1787638313.6195192,1+3,False,True,,,migration cooldown active,,,,True,"[{""model"": ""model_5"", ""reason"": ""target memory infeasible"", ""need_gib"": 21.538958125, ""weights_gib"": 15.080078125, ""reserve_gib"": 6.45888, ""free_gib"": 21.3203125}]","[""model_5""]",0.04269823382905623,0.10537428789835349,0.10537428789835349,"[""model_3"", ""model_6"", ""model_5"", ""model_4""]","{""model_3"": 3.2768334568103965, ""model_4"": 1.1189114397943933, ""model_5"": 1.1189114397943936, ""model_6"": 2.773967484093549}",1.6105780043585906e-16,"{""model_6"": 0, ""model_3"": 1, ""model_4"": 1, ""model_5"": 1}","{""model_3"": 1, ""model_6"": 0, ""model_5"": 0, ""model_4"": 1}"
