experiment,arm,workload,rate,seed,path,exists,size_bytes,size_mb,classification,verification_status,trace_sha,runtime_hash,note
final_4het,prototype,bursty,8,5,exp/results/4het-final/raw/prototype/bursty/rate_8/seed_5,True,36156033,34.5,AUTHORITATIVE_FINAL,PASS,ceed399543f073e1eefa289390a4cc53c30c32776378b1ad01f1d9ecfa962daf,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,bursty,8,6,exp/results/4het-final/raw/prototype/bursty/rate_8/seed_6,True,36015005,34.3,AUTHORITATIVE_FINAL,PASS,920b083c23d01c25504ab6814c1d3bf8c8e14b846bc5cf19db4956146cdbaaf2,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,bursty,10,5,exp/results/4het-final/raw/prototype/bursty/rate_10/seed_5,True,44931455,42.8,AUTHORITATIVE_FINAL,PASS,8275f904a47748c7b28e82a8bbd97089c79c96a05f96ecc586f2a45dc0da68e5,49f47ebd7c75aecd,counted in final statistics
final_4het,prototype,bursty,10,6,exp/results/4het-final/raw/prototype/bursty/rate_10/seed_6,True,43841965,41.8,AUTHORITATIVE_FINAL,PASS,1dca1c3210ee0c1008aa4049092a2a3249f6002adda8749da11ef9c2e11c6b76,49f47ebd7c75aecd,counted in final statistics
final_4het,prism,steady,2,5,exp/results/4het-final/raw/prism/steady/rate_2/seed_5,True,12349739,11.8,AUTHORITATIVE_FINAL,PASS,5bb86c5b152793036525b1d988824637eabd74b39562c629acc82a1ac46bcf7a,49f47ebd7c75aecd,counted in final statistics
final_4het,prism,steady,2,6,exp/results/4het-final/raw/prism/steady/rate_2/seed_6,True,11969759,11.4,AUTHORITATIVE_FINAL,PASS,b27f01d234dc51324e8531f5c68290a831678c4f74262880107cc74de8b067c1,49f47ebd7c75aecd,counted in final statistics
final_4het,prism,steady,4,5,exp/results/4het-final/raw/prism/steady/rate_4/seed_5,True,22513451,21.5,AUTHORITATIVE_FINAL,PASS,5f812af7142083e3b515da69c3f3bc100e54bd10970db16f42ec89eb0b42b36c,49f47ebd7c75aecd,counted in final statistics
final_4het,prism,steady,4,6,exp/results/4het-final/raw/prism/steady/rate_4/seed_6,True,22216150,21.2,AUTHORITATIVE_FINAL,PASS,e8e378c22d99fb0a3b8de0013dc49ff3d1816a5244a3ae5e62e64c47d919a385,49f47ebd7c75aecd,counted in final statistics
final_4het,prism,steady,6,5,exp/results/4het-final/raw/prism/steady/rate_6/seed_5,True,33013192,31.5,AUTHORITATIVE_FINAL,PASS,a46e81e2ff24f3183e4f7d5af000a1395b7c20bf823b8b8f696d729d94f0c284,49f47ebd7c75aecd,counted in final statistics
final_4het,prism,steady,6,6,exp/results/4het-final/raw/prism/steady/rate_6/seed_6,True,31761751,30.3,AUTHORITATIVE_FINAL,PASS,8141f1258cb4cb217f0e7b6fa67b8c9759a04925d4f9e0d40ff2d9f602268d36,49f47ebd7c75aecd,counted in final statistics
